Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   70.855   35.428 render.py:1(<module>)
   1380/1    0.023    0.000   70.855   70.855 {built-in method builtins.exec}
        1    0.000    0.000   68.412   68.412 render.py:30(main)
        1    0.000    0.000   68.177   68.177 part3.py:25(render_part3)
        1    0.007    0.007   43.507   43.507 part3.py:44(<listcomp>)
      797    0.473    0.001   43.497    0.055 part3.py:106(_draw_text)
    14034    0.070    0.000   31.619    0.002 utils.py:73(uuid_to_img)
    14830    0.283    0.000   26.291    0.002 Image.py:3042(open)
       10    0.326    0.033   24.646    2.465 _dill.py:367(load)
       10    0.000    0.000   24.320    2.432 _dill.py:645(load)
       10    6.553    0.655   24.320    2.432 {function Unpickler.load at 0x11bd59090}
    14951   18.051    0.001   18.052    0.001 {built-in method io.open}
  1600056   12.044    0.000   16.005    0.000 io.py:257(from_wkb)
      102    0.005    0.000    7.179    0.070 __init__.py:1(<module>)
    14034    0.196    0.000    6.011    0.000 utils.py:187(text_object_path)
    14033    0.190    0.000    5.449    0.000 Image.py:1552(paste)
    14830    0.094    0.000    5.369    0.000 pathlib.py:1064(resolve)
    42275    0.554    0.000    5.258    0.000 ImageFile.py:149(load)
    14830    0.065    0.000    4.370    0.000 posixpath.py:391(realpath)
    14920    0.083    0.000    4.132    0.000 pathlib.py:1170(mkdir)
    14830    0.631    0.000    3.745    0.000 posixpath.py:400(_joinrealpath)
    14920    3.420    0.000    3.581    0.000 {built-in method posix.mkdir}
  352/176    0.007    0.000    3.204    0.018 Image.py:1975(resize)
    14122    2.988    0.000    2.988    0.000 {method 'decode' of 'ImagingDecoder' objects}
      176    2.591    0.015    2.591    0.015 {method 'resize' of 'ImagingCore' objects}
  1099/49    0.008    0.000    2.499    0.051 <frozen importlib._bootstrap>:1022(_find_and_load)
  1092/49    0.006    0.000    2.497    0.051 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  1016/49    0.007    0.000    2.490    0.051 <frozen importlib._bootstrap>:664(_load_unlocked)
   938/49    0.004    0.000    2.488    0.051 <frozen importlib._bootstrap_external>:877(exec_module)
  1326/49    0.002    0.000    2.469    0.050 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   591/76    0.002    0.000    2.428    0.032 {built-in method builtins.__import__}
  1600056    1.043    0.000    2.376    0.000 enum.py:12(get_value)
    14122    0.376    0.000    2.281    0.000 Image.py:3107(_open_core)
   174772    2.074    0.000    2.074    0.000 {built-in method posix.lstat}
   124134    0.486    0.000    1.783    0.000 pathlib.py:569(_parse_args)
   101003    0.094    0.000    1.677    0.000 pathlib.py:853(__truediv__)
    14122    0.174    0.000    1.637    0.000 ImageFile.py:87(__init__)
   101010    0.279    0.000    1.583    0.000 pathlib.py:615(_make_child)
    14122    0.269    0.000    1.366    0.000 PngImagePlugin.py:709(_open)
    36067    0.259    0.000    1.184    0.000 decorators.py:62(wrapped)
   124134    0.707    0.000    1.149    0.000 pathlib.py:56(parse_parts)
        4    0.001    0.000    1.097    0.274 skin.py:914(from_name)
        4    0.000    0.000    1.083    0.271 skin.py:30(__init__)
        4    0.013    0.003    1.027    0.257 skin.py:935(validate_json)
  1600057    0.728    0.000    1.024    0.000 numeric.py:1858(isscalar)
107600/3820    0.349    0.000    1.003    0.000 schema.py:353(validate)
  1600299    0.661    0.000    0.918    0.000 types.py:176(__get__)
   800028    0.864    0.000    0.864    0.000 uuid.py:232(__setstate__)
     8294    0.613    0.000    0.846    0.000 pathlib.py:957(__new__)
   174795    0.536    0.000    0.836    0.000 posixpath.py:71(join)
  819/289    0.002    0.000    0.818    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    23124    0.055    0.000    0.778    0.000 pathlib.py:589(_from_parts)
    34040    0.599    0.000    0.767    0.000 {built-in method posix.stat}
    29749    0.044    0.000    0.758    0.000 pathlib.py:1092(stat)
    14033    0.032    0.000    0.758    0.000 coord.py:37(x)
    14033    0.037    0.000    0.726    0.000 point.py:83(x)
    14123    0.597    0.000    0.597    0.000 {method 'close' of '_io.BufferedReader' objects}
2825696/2825695    0.591    0.000    0.592    0.000 {built-in method builtins.isinstance}
  1603683    0.568    0.000    0.568    0.000 {built-in method numpy.asarray}
    42366    0.199    0.000    0.536    0.000 PngImagePlugin.py:166(read)
       88    0.002    0.000    0.535    0.006 Image.py:2236(save)
